ClassName	CodeNumb
Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP	660
SF3A3	661
FHL3	662
UTP11	663
POU3F1	664
MIR3659HG	665
LINC02786	666
LINC01343	667
LINC01685	668
HSPA5P1	669
RRAGC	670
MYCBP	671
GJA9	672
RHBDL2	673
EIF1P2	674
AKIRIN1	675
NDUFS5	676
MACF1	677
MACF1;HSPE1P8	678
BMP8A	679
BMP8A;PPIEL	680
PPIEL	681
PABPC4	682
HEYL	683
NT5C1A	684
HPCAL4	685
PPIE	686
PPIE;BMP8B	687
BMP8B	688
BMP8B;OXCT2	689
LINC02811	690
TRIT1	691
MYCL	692
MFSD2A	693
CAP1	694
PPT1	695
OAZ1P1	696
RLF	697
TMCO2	698
ZMPSTE24	699
COL9A2	700
SMAP2	701
ZFP69B	702
ZFP69	703
EXO5	704
ZNF684	705
GTF2F2P2	706
RIMS3	707
NFYC	708
KCNQ4	709
CITED4	710
UBE2V1P8	711
CTPS1	712
SLFNL1	713
SCMH1	714
SCMH1;RPL23AP17	715
FOXO6	716
RNA5SP45	717
EDN2	718
HIVEP3	719
HNRNPFP1	720
GUCA2B	721
GUCA2A	722
FOXJ3	723
RIMKLA	724
ZMYND12	725
PPCS	726
PPCS;CCDC30	727
CCDC30	728
PPIH	729
YBX1	730
CLDN19	731
P3H1	732
C1orf50	733
TMEM269	734
TMEM269;SVBP	735
ERMAP	736
ZNF691	737
MKRN8P	738
ATP6V1E1P1	739
SLC2A1	740
U6;U6	741
FAM183A	742
EBNA1BP2	743
EBNA1BP2;CFAP57	744
EBNA1BP2;TMEM125	745
TMEM125	746
C1orf210	747
TIE1	748
MPL	749
CDC20	750
ELOVL1	751
MED8	752
SZT2	753
SZT2;HYI	754
PTPRF	755
KDM4A	756
ST3GAL3	757
ST3GAL3;SHMT1P1	758
ARTN	759
LINC02918	760
IPO13	761
ATP6V0B	762
B4GALT2	763
CCDC24;SLC6A9	764
SLC6A9	765
KRT8P47	766
RN7SL479P	767
KLF17	768
KLF18	769
OOSP1P1	770
DMAP1	771
ERI3	772
RNF220	773
RNF220;MIR5584	774
RNF220;TMEM53	775
TMEM53	776
ARMH1	777
KIF2C	778
RPS8	779
RPS15AP11	780
BEST4	781
PLK3	782
DYNLT4	783
BTBD19	784
PTCH2	785
EIF2B3	786
